"DeviceID","DeviceTerm","DeviceCatID","DeviceCatTerm","DefaultInstrumentTerm","DeviceDescription"
"L22/TOOL0281","Barometer","L05/102","meteorological packages","MeteorologicalSensor","A generic term for a device that measures atmospheric pressure. The term is for use where details of the make, model number and measurement principle are not known."
"L22/TOOL0384","Kongsberg (Simrad) EM 1002 multibeam echosounder","L05/157","multi-beam echosounders","Multibeam","A 95 kHz multibeam echosounder designed for use in water depths of up to 1000 m. The transducer array includes 111  beams with a 2 deg beam width. Across-track coverage is up to 1500 m and angular coverage is adjustable up to 190 deg. The instrument has pulse lengths of 0.2, 0.7 and 2 ms and a depth resolution of 1, 4 or 8 cm."
"L22/TOOL0385","Kongsberg (Simrad) EM 1002S multibeam echosounder","L05/157","multi-beam echosounders","Multibeam","A 95 kHz multibeam echosounder, this is the shallow-water version of the EM 1002. The transducer array includes 111 beams with a 2 deg beam width. Across-track coverage is limited to approximately 1000 m and angular coverage is adjustable up to 190 deg. The instrument has a single pulse length of 0.2 ms."
"L22/TOOL0386","Kongsberg (Simrad) EM 120 multibeam echosounder","L05/157","multi-beam echosounders","Multibeam","A low frequency (12 kHz) multibeam echosounder with full ocean depth capability. The transducer array includes 191 beams with angular coverage adjustable up to 150 deg and a swath width of up to 5.5 times water depth. The instrument has pulse lengths of 2, 5 and 15 ms and a depth resolution of 10 to 40 cm."
"L22/TOOL0078","Global Positioning Satellite System","L05/POS03","NAVSTAR Global Positioning System receivers","Navigation","A location system of unspecified make or model that determines location on the Earth's surface using the Global Positioning Satellite Network. Angular co-ordinates are given relative to WGS84 CRS. Other parameters such as platform velocity may be derived from this."
"L22/TOOL0079","Gyrocompass","R2RE/1021","compass","Navigation","A compass of unspecified make or model number that finds true north by using a fast-spinning wheel and friction forces to sense the rotation of the Earth."
"L22/TOOL0304","IXSEA Photonic Inertial Navigation System","L05/POS19","inertial navigation systems","Navigation","PHINS, or PHotonic Inertial Navigation System (INS) that outputs position, heading, pitch, roll, heave, depth and velocity. The PHINS uses a high accuracy inertial measurement unit and produces positional data with an accuracy ranging from metres to cm, depending on the specific instrumentation setup. INS drift performance is known to be inadequate without a velocity input from an ADCP."
"L22/TOOL0388","Ashtech GG24 Global Positioning System and Global Navigation Satellite System receiver","L05/POS03","NAVSTAR Global Positioning System receivers","Navigation","A GPS receiver providing three-dimensional position, velocity and attitude information at a rate of up to 5 Hz. The ADU5 uses four antennae and 56 channels for satellite tracking and reliable positioning. It incorporates signals from Satellite Based Augmentation Systems (SBAS) and includes a 2-channel 300-kHz beacon receiver for differential GPS (DGPS) operations. Real-time horizontal position accuracy is = 3 m in autonomous mode and = 40 cm in differential mode."
"L22/TOOL0389","Ashtech ADU5 Global Positioning System receiver","L05/POS03","NAVSTAR Global Positioning System receivers","Navigation","A GPS receiver providing three-dimensional position, velocity and attitude information at a rate of up to 5 Hz. The ADU5 uses four antennae and 56 channels for satellite tracking and reliable positioning. It incorporates signals from Satellite Based Augmentation Systems (SBAS) and includes a 2-channel 300-kHz beacon receiver for differential GPS (DGPS) operations. Real-time horizontal position accuracy is = 3 m in autonomous mode and = 40 cm in differential mode."
"L22/TOOL0390","Ashtech ADU2 Global Positioning System receiver","L05/POS03","NAVSTAR Global Positioning System receivers","Navigation","A GPS receiver providing three-dimensional position, velocity and attitude information at a rate of up to 2 Hz. The ADU2 uses four antennae and a 48-channel receiver for Position Dilution of Precision (PDOP)-based satellite tracking. Real-time horizontal position accuracy is = 5 m in autonomous mode and = 1 m in differential mode."
"L22/TOOL0391","Trimble 4000DL Global Positioning System receiver","L05/POS03","NAVSTAR Global Positioning System receivers","Navigation","A differential GPS receiver used on research vessels during the 1990s and early 2000s. Cruise literature reports that this instrument used an 8-channel receiver. Maximum sampling rate is recorded as approximately 1 Hz."
"L22/NETT0147","Reeve Net","L05/22","plankton nets","ReeveNet","A Reeve Net is a conventional ring net with a very large acrylic cylindrical cod-end (30 liters) designed to collect fragile gelatinous animals. The net is lowered to a particular depth and then hauled slowly back to the surface (5-10 m/min). Reeve (1981) also described a double net system with no bridle and flotation at the net mouth that is attached to a roller mechanism that rides on a tow wire. The roller system is locked in place by a pressure release device. Once below a set pressure, the roller and nets are released and they float slowly up the wire, gently collecting the zooplankton, without being influenced by the motion of the vessel and associated vertical wire movements. (from Wiebe and Benfield, 2003)"
"L22/TOOL0266","Sea-Bird SBE 39 temperature recorder","L05/134","water temperature sensor","SBE 39 TR","A high-accuracy temperature recorder (pressure optional) with internal battery and non-volatile memory for deployment at depths up to 10500 meters. It is intended for moorings or other long-term, fixed-site applications, as well as shorter-term deployments on nets, towed vehicles or ROVs. Calibration coefficients stored in EEPROM allow the SBE 39 to transmit data in engineering units. The SBE 39 thermistor has a long history of exceptional accuracy and stability (typical drift is less than 0.002C per year). The SBE 39 communicates directly with a computer via a standard RA-232 interface. For more information see http://www.bodc.ac.uk/data/documents/nodb/108627/"
"L22/TOOL0474","Marine Magnetics SeaSPY Marine Magnetometer","L05/159","magnetometer","SeaSPY magnetometer","A marine magnetometer that measures the ambient magnetic field using a specialised branch of nuclear Magnetic Resonance technology applied to hydrogen nuclei. It uses an Overhauser sensor that allows omnidirectional data collection regardless of the direction of the ambient magnetic field. The sensor is accurate to 0.1 nT with a resolution of 0.01 nT. The magnetometer and associated electronics are held in a fibreglass towfish and the SeaSPY is available in three depth ratings: 1000 m, 3000 m and 6000 m. Optional extras include a pressure sensor, altimeter, transponder and side scan integration."
"L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph SBE45","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor."
"L22/TOOL0262","Lockheed Martin Sippican T-5 XBT probe","L05/132","bathythermographs","XBT","An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-5 XBT Probe can be used within a maximum depth of 1830m, may be deployed at a ship speed of up to 6 knots and has a vertical resolution of 65cm."
"L22/TOOL0263","Lockheed Martin Sippican T-7 XBT probe","L05/132","bathythermographs","XBT","An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-7 XBT Probe can be used within a maximum depth of 760m, may be deployed at a ship speed of up to 15 knots and has a vertical resolution of 65cm."
